Issuer Name,Issuer location,,Issuer sector,Bond type,Bonds per type,Amount issued (USD bn.),Lastest External Review Form,"External  Reviewer
",Latest External Review Report
MARUHA NICHIRO CORP,Japan,,Corporate - Consumer Staples,Green,1,0.03bn,Sep-22,Other,Sep-22
MARUI GROUP CO LTD,Japan,,Corporate - Consumer Discretionary,Green,1,0.09bn,Sep-18,Sustainalytics,Sep-18
MARUI GROUP CO LTD,Japan,,Corporate - Consumer Discretionary,Social,2,0.01bn,Mar-22,Sustainalytics,Mar-22
MAS SECURITIES BV,Netherlands,,Financials - Real estate,Green,1,0.37bn,Feb-21,Sustainalytics,Feb-21
MASSACHUSETTS HIGHER EDUCATION ASSISTANCE CORP,United States,,Corporate - Consumer Discretionary,Social,1,0.10bn,Feb-21,Sustainalytics,Feb-21
MASTERCARD INC,United States,,Financials - Consumer Finance,Sustainability,1,0.60bn,Feb-21,Sustainalytics,Feb-21
MAXEON SOLAR TECHNOLOGIES LTD,Singapore,,Corporate - Energy,Green,2,0.40bn,,,
MBANK SPOLKA AKCYJNA,Poland,,Financials - Banking,Green,1,0.59bn,May-20,Sustainalytics,May-20
MBH MORTGAGE BANK CO. PLC,Hungary,,Financials - Consumer Finance,Green,2,0.04bn,Sep-21,Sustainalytics,Sep-21
MBT SYSTEMS GMBH,United States,,Corporate - Energy,Green,1,0.17bn,,ISS-Oekom,Jun-21
MEDIOBANCA - BANCA DI CREDITO FINANZIARIO,Italy,,Financials - Banking,Green,1,0.60bn,,ISS-Oekom,Jun-20
MEDIOBANCA - BANCA DI CREDITO FINANZIARIO,Italy,,Financials - Banking,Sustainability,1,0.52bn,,ISS-Oekom,Apr-22
MEDIOCREDITO CENTRALE - BANCA DEL MEZZOGIORNO  S.P.A.,Italy,,Financials - Banking,Social,1,0.33bn,,Vigeo Eiris,Oct-19
MEGA INTERNATIONAL COMMERCIAL BANK CO LTD,Taiwan,,Financials - Banking,Sustainability,2,0.10bn,,Deloitte,Mar-23
MEGMILK SNOW BRAND CO LTD,Japan,,Corporate - Consumer Staples,Green,1,0.04bn,Oct-22,Other,Oct-22
MEIDENSHA CORP,Japan,,Corporate - Industrials,Green,1,0.06bn,,Japan Credit Rating Agency,Jul-19
MEIJI HOLDINGS CO LTD,Japan,,Corporate - Consumer Staples,Sustainability,1,0.09bn,,,
MERCADOLIBRE INC,United States,,Corporate - Consumer Discretionary,Sustainability,1,0.40bn,Nov-20,Sustainalytics,Nov-20
MERCEDES-BENZ GROUP AG,Germany,,Corporate - Consumer Discretionary,Green,2,2.39bn,,Cicero,Jun-20
MERCEDES-BENZ INTERNATIONAL FINANCE B.V.,Netherlands,,Corporate - Consumer Discretionary,Green,2,2.16bn,,Cicero,Mar-23
MERCK & CO INC,United States,,Corporate - Health Care,Sustainability,1,1.00bn,,Vigeo Eiris,Dec-21
MERCURY NZ LTD,New Zealand,,Corporate - Utilities,Green,4,0.52bn,,DNV GL,Feb-21
MERIDIAN ENERGY LTD,New Zealand,,Corporate - Utilities,Green,1,0.12bn,Feb-23,DNV GL,Feb-23
MERITUS ULAGANJA DD ZA UPRAVLJANJE DRUSTVIMA,Croatia,,Corporate - Technology,Sustainability Linked Bonds,1,0.04bn,Jun-22,Sustainalytics,Jun-22
MERITZ CAPITAL CO LTD,Korea,,Financials - Commercial Finance,Sustainability,9,0.57bn,,KPMG,Dec-21
"MERLIN PROPERTIES, SOCIMI, S.A.",Spain,,Financials - Real estate,Green,6,3.73bn,Apr-22,Sustainalytics,Apr-22
"METALSA, S.A. DE C.V.",Mexico,,Corporate - Consumer Discretionary,Sustainability Linked Bonds,2,0.30bn,,DNV GL,Apr-21
METLIFECARE LTD,New Zealand,,Corporate - Health Care,Sustainability,1,0.06bn,,,
METROPOLITAN EXPRESSWAY CO LTD,Japan,,Corporate - Industrials,Social,2,0.34bn,Jun-22,Other,Jun-22
METROPOLITAN HOUSING TRUST LTD,United Kingdom,,Financials - Real estate,Sustainability,1,0.34bn,,Other,Jul-21
METROPOLITAN LIFE GLOBAL FUNDING I,United States,,Financials - Insurance,Green,2,0.75bn,Jun-20,Sustainalytics,Jun-20
METROPOLITANO DE TENERIFE SA,Spain,,Corporate - Health Care,Green,1,0.15bn,,S&P,Jul-21
MEXICO CITY AIRPORT TRUST,Mexico,,Corporate - Industrials,Green,8,12.00bn,Sep-16,Moody's,Sep-17
MEXICO GOVERNMENT INTERNATIONAL BOND,Mexico,,SSA - Sovereigns,Sustainability,5,0.53bn,,,
MIBANCO BANCO DE LA MICROEMPRESA DE COLOMBIA,Colombia,,Financials - Banking,Social,1,0.03bn,,Deloitte,Nov-21
MICRO SMALL & MEDIUM ENTERPRISES BONDS SA,Luxembourg,,Financials - Financial services,Green,1,0.08bn,,DNV GL,Nov-21
"MICRO, SMALL & MEDIUM ENTERPRISES BONDS S.A.",Luxembourg,,Financials - Financial services,Green,17,0.17bn,,DNV GL,Nov-21
"MICRO, SMALL & MEDIUM ENTERPRISES BONDS S.A.",Luxembourg,,Financials - Financial services,Social,24,0.22bn,,DNV GL,Nov-21
"MICRO, SMALL & MEDIUM ENTERPRISES BONDS S.A.",Luxembourg,,Financials - Financial services,Sustainability,5,0.05bn,,DNV GL,Dec-19
MICROFINANCE ORGANIZATION CRYSTAL JSC,Georgia,,Financials - Financial services,Social,1,0.01bn,,Other,Sep-22
MICRON TECHNOLOGY INC,United States,,Corporate - Technology,Green,1,1.00bn,Oct-21,Sustainalytics,Oct-21
MIDEA INVESTMENT DEVELOPMENT CO LTD,Virgin Islands,,Corporate - Consumer Discretionary,Green,1,0.45bn,,S&P,Feb-22
MIE PREFECTURE,Japan,,SSA - Quasi-sovereigns,Green,3,0.09bn,Nov-21,Other,Nov-21
MILLICOM INTERNATIONAL CELLULAR S.A.,Luxembourg,,Corporate - Communications,Sustainability,2,0.45bn,Feb-19,Sustainalytics,Feb-19
MINEBEA CO. LTD,Japan,,Corporate - Technology,Green,1,0.18bn,,Japan Credit Rating Agency,May-22
MINISTERIES VAN DE VLAAMSE GEMEENSCHAP,Belgium,,SSA - Quasi-sovereigns,Sustainability,5,5.85bn,Oct-18,Sustainalytics,Oct-18
MIRAE ASSET CAPITAL CO LTD,Korea,,Financials - Financial services,Sustainability,4,0.11bn,,Other,Dec-22
MIRAE ASSET DAEWOO CO LTD,Korea,,Financials - Financial services,Green,1,0.30bn,,,
MIRAE ASSET LIFE INSURANCE CO LTD,Korea,,Financials - Insurance,Sustainability,1,0.27bn,,Other,Apr-21
MIRAE ASSET SECURITIES CO LTD,Korea,,Financials - Financial services,Social,1,0.09bn,Feb-21,Moody's,Feb-21
MIRAI CORP,Luxembourg,,Financials - Real estate,Green,1,0.01bn,,Japan Credit Rating Agency,Oct-21
MIRIS AS,Norway,,Financials - Real estate,Green,1,0.12bn,,Cicero,Jan-21
MISSISSIPPI POWER CO,United States,,Corporate - Utilities,Sustainability,1,0.33bn,Dec-20,Sustainalytics,Dec-20
MITSUBISHI ELECTRIC CORPORATION,Japan,,Corporate - Industrials,Green,1,0.02bn,,Japan Credit Rating Agency,Mar-20
MITSUBISHI ESTATE CO LTD,Japan,,Financials - Real estate,Green,1,0.18bn,May-18,Other,Jun-18
MITSUBISHI ESTATE CO LTD,Japan,,Financials - Real estate,Sustainability Linked Bonds,3,0.42bn,,Japan Credit Rating Agency,Jun-22
MITSUBISHI ESTATE LOGISTICS REIT INVESTMENT CORP,Japan,,Financials - Real estate,Green,1,0.02bn,Jan-21,Japan Credit Rating Agency,Jan-21
MITSUBISHI HEAVY INDUSTRIES LTD,Japan,,Corporate - Industrials,Green,2,0.38bn,Jul-21,Sustainalytics,Jul-21
MITSUBISHI UFJ FINANCIAL GROUP INC.,Japan,,Financials - Banking,Green,6,2.11bn,Aug-18,Sustainalytics,Aug-18
MITSUBISHI UFJ FINANCIAL GROUP INC.,Japan,,Financials - Banking,Social,1,0.09bn,Oct-19,Sustainalytics,Oct-19
MITSUBISHI UFJ FINANCIAL GROUP INC.,Japan,,Financials - Banking,Sustainability,3,1.98bn,May-20,Sustainalytics,May-20
MITSUI FUDOSAN CO LTD,Japan,,Financials - Real estate,Green,6,1.35bn,Jan-22,Sustainalytics,Jan-22
"MITSUI FUDOSAN CO., LTD",Japan,,Financials - Real estate,Sustainability,1,0.03bn,,Japan Credit Rating Agency,Feb-21
MITSUI FUDOSAN LOGISTICS PARK INC,Japan,,Financials - Real estate,Green,1,0.01bn,,Japan Credit Rating Agency,Nov-22
MITSUI OSK LINES LTD,Japan,,Corporate - Industrials,Green,2,0.09bn,Dec-18,Vigeo Eiris,Jul-18
MITSUI OSK LINES LTD,Japan,,Corporate - Industrials,Sustainability,3,0.19bn,Jun-19,Vigeo Eiris,Jul-18
"MIZUHO FINANCIAL GROUP, INC.",Japan,,Financials - Banking,Green,4,2.47bn,Sep-20,Sustainalytics,Sep-20
MIZUHO LEASING CO LTD,Japan,,Financials - Commercial Finance,Green,1,0.09bn,Nov-21,Other,Dec-21
MOBILINX HURONTARIO GP,Canada,,Corporate - Consumer Discretionary,Green,2,0.20bn,,S&P,Oct-19
MODERN LAND CHINA CO LTD,Cayman Islands,,Financials - Real estate,Green,1,0.28bn,,Cicero,Feb-18
MOERE BOLIGKREDITT AS,Norway,,Financials - Consumer Finance,Green,2,0.54bn,Dec-20,Sustainalytics,Dec-20
MOMOX HOLDING GMBH,Germany,,Corporate - Consumer Discretionary,Green,1,0.11bn,,Cicero,Feb-20
MONDELEZ INTERNATIONAL HOLDINGS NETHERLANDS BV,Netherlands,,Corporate - Consumer Staples,Green,6,3.13bn,,ISS-Oekom,Aug-21
MORGAN STANLEY,United States,,Financials - Financial services,Social,1,1.00bn,Oct-20,DNV GL,Oct-20
MORHOMES PLC,United Kingdom,,Financials - Consumer Finance,Social,7,0.77bn,Jan-21,Sustainalytics,Jan-21
MORHOMES PLC,United Kingdom,,Financials - Consumer Finance,Sustainability,2,0.10bn,Jan-21,Sustainalytics,Jan-21
MORI BUILDING CO LTD,Japan,,Financials - Real estate,Green,3,0.91bn,Jul-22,Sustainalytics,Jul-22
MORI HILLS REIT INVESTMENT CORP,Japan,,Financials - Real estate,Green,4,0.08bn,Feb-20,Sustainalytics,Feb-20
MORINAGA & CO. LIMITED,Japan,,Corporate - Consumer Staples,Sustainability,1,0.06bn,,Japan Credit Rating Agency,Nov-22
MORINAGA MILK INDUSTRY CO. LIMITED,Japan,,Corporate - Consumer Staples,Green,1,0.03bn,Sep-22,Other,Sep-22
MOSAIC SOLAR LOAN TRUST 2018-1,United States,,Financials - Specialty finance,Green,3,0.24bn,Oct-17,Sustainalytics,Mar-18
MOSAIC SOLAR LOAN TRUST 2018-2-GS,United States,,Financials - Specialty finance,Green,4,0.32bn,Oct-17,Sustainalytics,Oct-17
MOSAIC SOLAR LOAN TRUST 2019-1,United States,,Financials - Specialty finance,Green,2,0.26bn,Oct-17,Sustainalytics,Jan-19
MOSAIC SOLAR LOAN TRUST 2020-1,United States,,Financials - Specialty finance,Green,8,0.53bn,Oct-17,Sustainalytics,Jun-20
MOSAIC SOLAR LOANS 2017-1 LLC,United States,,Financials - Specialty finance,Green,2,0.28bn,Jan-17,Sustainalytics,Jan-17
MOSAIC SOLAR LOANS 2017-2 LLC,United States,,Financials - Specialty finance,Green,4,0.31bn,Oct-17,Sustainalytics,Oct-17
MOTABILITY OPERATIONS GROUP PLC,United Kingdom,,Corporate - Industrials,Social,5,2.72bn,,DNV GL,Jun-20
"MOTA-ENGIL, SGPS, S.A.",Portugal,,Corporate - Industrials,Sustainability Linked Bonds,1,0.15bn,,S&P,Nov-21
MOVIDA EUROPE SA,Brazil,,Corporate - Consumer Discretionary,Sustainability Linked Bonds,2,0.80bn,,ISS-Oekom,Jan-21
MOWI ASA,Norway,,Corporate - Consumer Staples,Green,1,0.22bn,,Cicero,Jan-20
MP MATERIALS CORP,United States,,Corporate - Materials,Green,1,0.69bn,,,
MPACT TREASURY CO PTE LTD,Singapore,,Financials - Real estate,Green,1,0.11bn,,EY,Sep-22
MPT FINCO INC,Canada,,Corporate - Energy,Green,1,0.25bn,,,
MTR CORP CI LTD,Cayman Islands,,Corporate - Consumer Discretionary,Green,2,0.73bn,Oct-16,Sustainalytics,Oct-16
MTR CORP LTD,China (Hong Kong),,Corporate - Consumer Discretionary,Green,14,2.04bn,Aug-20,Sustainalytics,Aug-20
MUENCHENER HYPOTHEKENBANK,Germany,,Financials - Consumer Finance,Green,3,1.28bn,,ISS-Oekom,Oct-20
MÜNCHENER HYPOTHEKENBANK EG,Germany,,Financials - Banking,Green,14,2.23bn,,ISS-Oekom,Oct-20
MÜNCHENER RÜCKVERSICHERUNGS-GESELLSCHAFT A.G. MÜNCHEN,Germany,,Financials - Insurance,Green,4,3.91bn,Sep-20,Sustainalytics,Sep-20
MUNICIPAL FINANCE AUTHORITY OF BRITISH COLUMBIA,Canada,,SSA - Quasi-sovereigns,Sustainability,3,1.09bn,,,
MUNICIPALITY CREDIT ICELAND PLC,Iceland,,SSA - Quasi-sovereigns,Green,1,0.01bn,Oct-19,Sustainalytics,Oct-19
MUNICIPALITY OF SHENZHEN CHINA,China (mainland),,SSA - Quasi-sovereigns,Green,4,0.61bn,,,
MYTILINEOS S.A.,Greece,,Corporate - Utilities,Green,1,0.60bn,,ISS-Oekom,Apr-21
NACIONAL FINANCIERA SNC,Mexico,,SSA - Quasi-sovereigns,Green,1,0.11bn,Aug-16,Sustainalytics,Aug-16
NACIONAL FINANCIERA SNC,Mexico,,SSA - Quasi-sovereigns,Sustainability,1,0.32bn,Oct-21,Sustainalytics,Oct-21
NAGANO PREFECTURE,Japan,,SSA - Quasi-sovereigns,Green,4,0.22bn,,Japan Credit Rating Agency,Oct-22
NAGASE & CO LTD,Japan,,Corporate - Materials,Sustainability Linked Bonds,1,0.07bn,May-22,Other,May-22
NAGOYA EXPRESSWAY PUBLIC CORP,Japan,,SSA - Quasi-sovereigns,Social,16,0.88bn,Oct-22,Other,Oct-22
NAGOYA RAILROAD CO. LTD,Japan,,Corporate - Consumer Discretionary,Sustainability,1,0.09bn,,Other,Nov-21
NANJING ANJU CONSTRUCTION GROUP CO LTD,China (mainland),,Financials - Real estate,Green,1,0.08bn,,Other,Apr-22
NANJING FINANCIAL CITY CONSTRUCTION & DEVELOPMENT CO LTD,China (mainland),,Financials - Real estate,Sustainability Linked Bonds,1,0.24bn,,Other,Dec-21
NANJING JIANGBEI NEW DISTR,China (mainland),,Corporate - Industrials,Sustainability Linked Bonds,1,0.06bn,,Other,Dec-21
NANJING YANGZI STATE-OWNED INVESTMENT GROUP CO LTD,China (mainland),,Corporate - Industrials,Sustainability,1,0.30bn,,,
NANKAI ELECTRIC RAILWAY CO. LTD,Japan,,Corporate - Consumer Discretionary,Sustainability,1,0.07bn,Feb-23,Other,Feb-23
NANYANG TECHNOLOGICAL UNIVERSITY,Singapore,,Corporate - Consumer Discretionary,Sustainability Linked Bonds,1,0.48bn,,PwC,Oct-21
NATIONAL AUSTRALIA BANK LIMITED,Australia,,Financials - Banking,Green,4,4.07bn,,DNV GL,Apr-22
NATIONAL BANK OF CANADA,Canada,,Financials - Banking,Sustainability,17,2.55bn,,Moody's,Dec-22
NATIONAL BANK OF GREECE S.A.,Greece,,Financials - Banking,Green,1,0.59bn,Apr-20,Sustainalytics,Apr-20
NATIONAL COMMUNITY RENAISSANCE OF CALIFORNIA,United States,,Financials - Real estate,Social,1,0.10bn,,S&P,Jan-22
NATIONAL ENERGY GROUP JIANGSU POWER GENERATION CO LTD,China (mainland),,Corporate - Utilities,Green,1,0.05bn,,Other,Nov-21
NATIONAL ENVIRONMENT AGENCY,Singapore,,SSA - Agencies,Green,2,1.23bn,,Vigeo Eiris,Apr-21
NATIONAL GRID ELECTRICITY TRANSMISSION PLC,United Kingdom,,Corporate - Utilities,Green,4,0.80bn,,DNV GL,Nov-19
NATIONAL GRID PLC,United Kingdom,,Corporate - Utilities,Green,2,1.79bn,,ISS-Oekom,Jul-21
NATIONAL HOUSING AUTHORITY,Philippines,,SSA - Agencies,Social,4,0.32bn,,DNV GL,Feb-21
NATIONAL HOUSING AUTHORITY,Philippines,,SSA - Agencies,Sustainability,1,0.06bn,,DNV GL,Aug-21
NATIONAL HOUSING FINANCE AND INVESTMENT CORP,Australia,,SSA - Agencies,Social,5,1.28bn,,EY,Jun-21
NATIONAL HOUSING FINANCE AND INVESTMENT CORP,Australia,,SSA - Agencies,Sustainability,1,0.32bn,,EY,May-21
NATIONAL INSTITUTION FOR ACADEMIC DEGREES & QUALITY ENHANCEMENT OF HIGHER EDUCAT,Japan,,SSA - Agencies,Social,4,0.21bn,Jan-20,Japan Credit Rating Agency,Feb-23
NATIONAL RURAL UTILITIES COOPERATIVE FINANCE CORPORATION,United States,,Corporate - Utilities,Sustainability,2,0.80bn,Sep-20,Sustainalytics,Sep-20
NATIONAL UNIVERSITY OF SINGAPORE,Singapore,,Corporate - Consumer Discretionary,Green,3,0.69bn,,EY,May-20
NATIONALE-NEDERLANDEN BANK NV/THE NETHERLANDS,Netherlands,,Financials - Banking,Green,3,1.92bn,Jun-21,Sustainalytics,Jun-21
NATIXIS,France,,Financials - Banking,Green,42,1.79bn,,Vigeo Eiris,May-20
NATIXIS STRUCTURED ISSUANCE S.A.,Luxembourg,,Financials - Financial services,Green,37,1.08bn,,Vigeo Eiris,May-20
NATURA COSMETICOS SA,Brazil,,Corporate - Consumer Staples,Sustainability Linked Bonds,2,2.00bn,,Vigeo Eiris,Apr-21
NATURE CONSERVANCY/THE,United States,,Corporate - Industrials,Green,1,0.35bn,Feb-22,Sustainalytics,Feb-22
NATURGY FINANCE B.V.,Netherlands,,Corporate - Utilities,Green,1,0.93bn,,Vigeo Eiris,Sep-17
NATWEST GROUP PLC,United Kingdom,,Financials - Banking,Green,3,2.41bn,Oct-20,Sustainalytics,Oct-20
NATWEST GROUP PLC,United Kingdom,,Financials - Banking,Social,3,2.57bn,Dec-22,Sustainalytics,Dec-22
NAVER CORP,Korea,,Corporate - Communications,Green,1,0.30bn,Jan-21,Sustainalytics,Jan-21
NAVER CORP,Korea,,Corporate - Communications,Sustainability,1,0.80bn,Jan-21,Sustainalytics,Jan-21
"NBM US HOLDINGS, INC.",United States,,Corporate - Consumer Staples,Sustainability,2,0.50bn,,Vigeo Eiris,Jul-19
NBN CO LTD,Australia,,Corporate - Communications,Green,3,2.04bn,Feb-22,Sustainalytics,Feb-22
NCC TREASURY AB,Sweden,,Corporate - Industrials,Green,3,0.17bn,,Cicero,Jun-22
NE PROPERTY BV,Netherlands,,Financials - Real estate,Green,2,1.13bn,Jun-20,Sustainalytics,Jun-20
NEC CAPITAL SOLUTIONS LTD,Thailand,,Financials - Commercial Finance,Sustainability,2,0.09bn,,Japan Credit Rating Agency,Feb-22
NEC CORPORATION,Japan,,Corporate - Technology,Sustainability Linked Bonds,3,0.83bn,Jun-22,Other,Jun-22
NEDBANK LTD,South Africa,,Financials - Banking,Green,5,0.19bn,,Other,Nov-21
NEDERLANDSE FINANCIERINGS-MAATSCHAPPIJ VOOR ONTWIKKELINGSLANDEN N.V.,Netherlands,,SSA - Quasi-sovereigns,Green,2,0.65bn,Mar-20,Sustainalytics,Mar-20
NEDERLANDSE FINANCIERINGS-MAATSCHAPPIJ VOOR ONTWIKKELINGSLANDEN N.V.,Netherlands,,SSA - Quasi-sovereigns,Sustainability,3,1.33bn,Mar-20,Sustainalytics,Mar-20
NEDERLANDSE GASUNIE N.V.,Netherlands,,Corporate - Utilities,Sustainability Linked Bonds,2,0.87bn,,Other,Sep-21
NEDERLANDSE WATERSCHAPSBANK N.V.,Netherlands,,SSA - Quasi-sovereigns,Green,6,3.94bn,,Cicero,Aug-19
NEDERLANDSE WATERSCHAPSBANK N.V.,Netherlands,,SSA - Quasi-sovereigns,Social,22,19.30bn,Apr-19,Sustainalytics,Apr-19
NEINOR HOMES SA,Spain,,Financials - Real estate,Green,2,0.36bn,,DNV GL,Apr-21
"NEMAK, S.A. DE C.V.",Mexico,,Corporate - Consumer Discretionary,Sustainability Linked Bonds,4,1.09bn,Jun-21,Sustainalytics,Jun-21
NEOEN SA,France,,Corporate - Utilities,Green,2,0.48bn,,Vigeo Eiris,May-20
NEOENERGIA SA,Brazil,,Corporate - Utilities,Green,3,0.38bn,Dec-20,Other,Dec-20
NERVAL SAS,France,,Financials - Real estate,Green,2,0.90bn,,Moody's,Mar-22
NESTE OYJ,Finland,,Corporate - Energy,Green,3,1.65bn,,Cicero,Mar-21
NEUTRAL CAPITAL FINANCE PLC,United Kingdom,,Corporate - Industrials,Green,1,0.05bn,May-21,Sustainalytics,May-21
NEW DEVELOPMENT BANK/THE,Supranationals,,SSA - Supranationals,Green,1,1.25bn,May-20,Sustainalytics,May-20
NEW DEVELOPMENT BANK/THE,Supranationals,,SSA - Supranationals,Social,3,5.00bn,May-20,Sustainalytics,May-20
NEW DEVELOPMENT BANK/THE,Supranationals,,SSA - Supranationals,Sustainability,1,0.50bn,,,
NEW IMMO HOLDING S.A.,France,,Financials - Real estate,Green,1,0.33bn,,Vigeo Eiris,Nov-19
NEW KANSAI INTERNATIONAL AIRPORT CO LTD,Japan,,Corporate - Industrials,Social,5,0.32bn,Jun-22,Other,Jun-22
NEW METRO GLOBAL LTD,Virgin Islands,,Financials - Real estate,Green,1,0.30bn,Jun-21,Other,Jun-21
NEW SOUTH WALES TREASURY CORPORATION,Australia,,SSA - Quasi-sovereigns,Green,2,2.46bn,Oct-20,Sustainalytics,Oct-20
NEW SOUTH WALES TREASURY CORPORATION,Australia,,SSA - Quasi-sovereigns,Sustainability,2,2.67bn,Jan-22,Sustainalytics,Jan-22
NEW WORLD CHINA LAND LTD,Cayman Islands,,Financials - Real estate,Green,1,0.31bn,Oct-18,Sustainalytics,Oct-18
NEW YORK STATE ELECTRIC & GAS CORP,United States,,Corporate - Utilities,Green,2,0.35bn,,Vigeo Eiris,Sep-21
NEW ZEALAND GOVERNMENT BOND,New Zealand,,SSA - Sovereigns,Green,1,1.94bn,Aug-22,Sustainalytics,Aug-22
NEW ZEALAND GOVERNMENT BOND,New Zealand,,SSA - Sovereigns,Sustainability,1,0.68bn,,Sustainalytics,Mar-23
NEWMONT CORP,United States,,Corporate - Materials,Sustainability Linked Bonds,1,1.00bn,,ISS-Oekom,Dec-21
NEXITY SA,France,,Financials - Real estate,Green,2,0.27bn,,Vigeo Eiris,Dec-19
NEXTERA ENERGY CAPITAL HOLDINGS INC,United States,,Corporate - Utilities,Green,2,1.84bn,,,
NGK INSULATORS LTD,Japan,,Corporate - Consumer Discretionary,Green,2,0.12bn,,Japan Credit Rating Agency,Nov-22
NH CAPITAL CO LTD,Korea,,Financials - Financial services,Green,4,0.06bn,,Deloitte,Jul-21
NH CAPITAL CO LTD,Korea,,Financials - Financial services,Social,7,0.14bn,,Deloitte,Jul-21
NH CAPITAL CO LTD,Korea,,Financials - Financial services,Sustainability,3,0.09bn,,Deloitte,Jul-21
NH FOODS LTD,United Kingdom,,Corporate - Consumer Staples,Sustainability,2,0.23bn,Jan-21,Sustainalytics,Jan-21
NH INVESTMENT & SECURITIES CO LTD,Korea,,Financials - Financial services,Sustainability,4,0.37bn,,Deloitte,Feb-21
NIAGARA MOHAWK POWER CORP,United States,,Corporate - Utilities,Green,4,1.10bn,,DNV GL,Nov-19
NIBC BANK N.V.,Netherlands,,Financials - Banking,Green,1,0.89bn,Jun-21,Sustainalytics,Jun-21
NIDEC CORPORATION,Japan,,Corporate - Technology,Green,3,1.06bn,Nov-19,Sustainalytics,Nov-19
NIGERIA GOVERNMENT BOND,Nigeria,,SSA - Sovereigns,Green,1,0.04bn,,Moody's,May-19
NIPPON ACCOMMODATIONS FUND INC,Japan,,Financials - Real estate,Green,3,0.05bn,,Japan Credit Rating Agency,Jun-20
NIPPON BUILDING FUND INC,Japan,,Financials - Real estate,Green,1,0.05bn,Feb-21,Sustainalytics,Feb-21
NIPPON PROLOGIS REIT INC,Japan,,Financials - Real estate,Green,8,0.32bn,May-18,DNV GL,Jan-21
NIPPON STEEL CORPORATION,Japan,,Corporate - Materials,Green,2,0.37bn,Feb-23,Other,Feb-23
NIPRO CORP,Japan,,Corporate - Health Care,Social,2,0.75bn,Sep-21,Other,Sep-21
NISOURCE INC,United States,,Corporate - Utilities,Green,1,0.35bn,,,
NISSAN MOTOR CO. LTD,Japan,,Corporate - Consumer Discretionary,Sustainability,3,1.54bn,Jul-22,Sustainalytics,Jul-22
NIVIKA FASTIGHETER AB,Sweden,,Financials - Real estate,Green,2,0.15bn,,Cicero,Sep-20
NKT A/S,Denmark,,Corporate - Industrials,Green,1,0.15bn,,Cicero,Aug-22
NMB BANK PLC,Tanzania,,Financials - Banking,Social,1,0.03bn,Jan-22,Sustainalytics,Jan-22
NN GROUP N.V.,Netherlands,,Financials - Insurance,Green,1,0.50bn,Feb-22,Sustainalytics,Feb-22
NOBIAN FINANCE B.V.,Netherlands,,Corporate - Materials,Sustainability Linked Bonds,2,0.63bn,,DNV GL,Jun-21
NOBINA AB,Sweden,,Corporate - Consumer Discretionary,Green,1,0.05bn,Jan-19,Cicero,Jan-19
NOMURA REAL ESTATE HOLDINGS INC,Japan,,Financials - Real estate,Sustainability,1,0.09bn,Jan-21,Japan Credit Rating Agency,Feb-21
NOMURA REAL ESTATE MASTER FUND INC,Japan,,Financials - Real estate,Green,1,0.03bn,Aug-19,Japan Credit Rating Agency,Aug-19
NOMURA RESEARCH INSTITUTE LTD,Japan,,Corporate - Technology,Green,1,0.10bn,,Other,Sep-16
NOMURA RESEARCH INSTITUTE LTD,Japan,,Corporate - Technology,Sustainability Linked Bonds,1,0.05bn,,Vigeo Eiris,Mar-21
NONGHYUP BANK,Korea,,Financials - Banking,Green,1,0.00bn,Aug-21,Moody's,Aug-21
NONGHYUP BANK,Korea,,Financials - Banking,Social,11,1.88bn,Dec-18,Other,Aug-22
NONGHYUP FINANCIAL GROUP INC,Korea,,Financials - Financial services,Social,2,0.33bn,,Deloitte,May-21
NONGHYUP PROPERTY & CASUALTY INSURANCE CO LTD,Korea,,Financials - Insurance,Sustainability,1,0.09bn,,Deloitte,Jun-21
NORD/LB LUXEMBOURG S.A. COVERED BOND BANK,Luxembourg,,Financials - Banking,Green,1,0.33bn,Sep-19,Sustainalytics,Sep-19
NORDDEUTSCHE LANDESBANK GIROZENTRALE,Germany,,Financials - Banking,Green,22,2.64bn,Aug-17,ISS-Oekom,Aug-21
NORDEA BANK ABP,Finland,,Financials - Banking,Green,3,2.58bn,,ISS-Oekom,Nov-21
NORDEA EIENDOMSKREDITT AS,Norway,,Financials - Banking,Green,1,0.82bn,,ISS-Oekom,Nov-21
NORDEA HYPOTEK AB,Sweden,,Financials - Banking,Green,1,0.57bn,,ISS-Oekom,Oct-22
NORDEA KIINNITYSLUOTTOPANKKI OYJ,Finland,,Financials - Banking,Green,1,1.03bn,,,
NORDEA KREDIT REALKREDITAKTIESELSKAB,Denmark,,Financials - Consumer Finance,Green,2,0.69bn,,ISS-Oekom,Nov-21
NORDEX SE,Germany,,Corporate - Energy,Green,1,0.36bn,,Moody's,Apr-23
NORDIC INVESTMENT BANK,Supranationals,,SSA - Supranationals,Green,19,7.64bn,,Cicero,Dec-18
NORFOLK SOUTHERN CORP,United States,,Corporate - Industrials,Green,2,1.10bn,Apr-21,Sustainalytics,Apr-21
NORGESGRUPPEN ASA,Norway,,Corporate - Consumer Staples,Green,5,0.25bn,,Cicero,Jan-19
NORINCHUKIN BANK (THE),Japan,,Financials - Banking,Green,8,2.00bn,Aug-21,Sustainalytics,Aug-21
NORLANDIA HEALTH & CARE GROUP AS,Norway,,Corporate - Health Care,Sustainability Linked Bonds,2,0.20bn,,Other,Apr-21
