symbol,date,price,yield_to_maturity,yield_to_worst,nav
SP_GB_INDEX,2022-05-30,129.62,2.79,2.76,
SP_GB_INDEX,2022-05-31,128.62,2.84,2.81,
SP_GB_INDEX,2022-06-01,127.85,2.89,2.86,
SP_GB_INDEX,2022-06-02,127.93,2.93,2.9,
SP_GB_INDEX,2022-06-03,127.64,2.97,2.94,
SP_GB_INDEX,2022-06-06,127.28,3.01,2.98,
SP_GB_INDEX,2022-06-07,127.37,2.99,2.97,
SP_GB_INDEX,2022-06-08,127.1,3.03,3.0,
SP_GB_INDEX,2022-06-09,125.84,3.11,3.08,
SP_GB_INDEX,2022-06-10,124.12,3.22,3.19,
SP_GB_INDEX,2022-06-13,121.58,3.42,3.4,
SP_GB_INDEX,2022-06-14,120.47,3.54,3.51,
SP_GB_INDEX,2022-06-15,121.22,3.47,3.45,
SP_GB_INDEX,2022-06-16,121.55,3.52,3.5,
SP_GB_INDEX,2022-06-17,121.38,3.5,3.48,
SP_GB_INDEX,2022-06-20,121.57,3.54,3.52,
SP_GB_INDEX,2022-06-21,121.6,3.55,3.54,
SP_GB_INDEX,2022-06-22,122.64,3.47,3.45,
SP_GB_INDEX,2022-06-23,123.26,3.36,3.34,
SP_GB_INDEX,2022-06-24,123.36,3.38,3.36,
SP_GB_INDEX,2022-06-27,123.2,3.45,3.43,
SP_GB_INDEX,2022-06-28,122.04,3.51,3.49,
SP_GB_INDEX,2022-06-29,122.35,3.49,3.47,
SP_GB_INDEX,2022-06-30,122.84,3.41,3.39,
SP_GB_INDEX,2022-07-01,123.28,3.2,3.18,
SP_GB_INDEX,2022-07-04,122.85,3.27,3.25,
SP_GB_INDEX,2022-07-05,122.42,3.18,3.16,
SP_GB_INDEX,2022-07-06,122.1,3.17,3.15,
SP_GB_INDEX,2022-07-07,121.54,3.25,3.22,
SP_GB_INDEX,2022-07-08,121.39,3.27,3.24,
